KPI_ID,カテゴリ,指標名,単位,FY2023実績,FY2024実績,FY2025目標,FY2026目標,FY2028目標,中計最終目標,備考
KPI-001,財務,連結売上高,億円,14670,15720,16500,17800,22000,22000,中計CAGR +8%
KPI-002,財務,営業利益,億円,2270,2560,2900,3300,4800,4800,EBITDA倍増が最終ゴール
KPI-003,財務,営業利益率,%,15.5,16.3,17.6,18.5,21.8,21.8,
KPI-004,財務,ROIC,%,6.2,6.8,7.5,8.0,9.5,9.5,取締役会からの重点指示事項
KPI-005,事業,再エネ設備容量,MW,3650,3900,4200,4600,5500,5500,洋上風力が主要ドライバー
KPI-006,事業,年間発電量,GWh,8200,8950,9800,10500,13000,13000,
KPI-007,事業,海外事業比率,%,38.0,41.0,45.0,48.0,55.0,55.0,Elawan拡大
KPI-008,事業,蓄電池容量,MW,30,80,170,300,500,500,新規成長事業
KPI-009,事業,SFA受注総額,億円,6800,8500,10000,12000,15000,15000,年率+15%成長
KPI-010,ESG,CO2削減量,万t,380,420,470,520,680,680,再エネ発電量に連動
KPI-011,ESG,RE100供給企業数,社,58,72,90,110,150,150,PPA事業拡大
KPI-012,ESG,女性管理職比率,%,15.0,18.0,20.0,23.0,30.0,30.0,D&I推進
KPI-013,ESG,休業災害件数,件,0,0,0,0,0,0,ゼロ災害継続
KPI-014,ESG,カーボンクレジット収益,億円,0,3,6,10,25,25,新規収益源
KPI-015,人材,従業員数,人,420,452,490,530,620,620,洋上風力技術者が最大のニーズ
KPI-016,人材,DX人材数,人,8,15,25,35,50,50,社内育成+中途採用
